"year","sector","gross_value_added_ths_eur","french_va_in_foreign_final_use_ths_eur","foreign_va_in_french_final_use_ths_eur","french_va_in_french_final_use_ths_eur","total_va_in_french_final_use_ths_eur","french_share","french_share_pct"
2010,"Agriculture",31229640,10226500.64,12013438.023,21003139.36,33016577.383,0.636139207173375,63.6139207173375
2011,"Agriculture",33388174,11677399.916,12717828.019,21710774.084,34428602.103,0.630602834789746,63.0602834789746
2012,"Agriculture",33385296,11301709.059,12624535.659,22083586.941,34708122.6,0.63626567174221,63.6265671742211
2013,"Agriculture",30477234,10691623.429,13268130.729,19785610.571,33053741.3,0.5985891397716,59.85891397716
2014,"Agriculture",33105986,10721628.715,13195037.151,22384357.285,35579394.436,0.629138231266551,62.9138231266551
2015,"Agriculture",34712779,11361906.435,14437066.952,23350872.565,37787939.517,0.617945113268082,61.7945113268082
2016,"Agriculture",31513523,10250398.933,14771585.442,21263124.067,36034709.509,0.590073414125604,59.0073414125604
2017,"Agriculture",34622649,10988425.679,15893584.23,23634223.321,39527807.551,0.597913843071271,59.7913843071271
2018,"Agriculture",37917310,12028868.579,15917766.551,25888441.421,41806207.972,0.619248735459073,61.9248735459073
2019,"Agriculture",36144147,11699449.691,15419955.484,24444697.309,39864652.793,0.613192279283876,61.3192279283876
2020,"Agriculture",35507635,11138487.233,14809450.319,24369147.767,39178598.086,0.622001525258966,62.2001525258966
2021,"Agriculture",38427030,12232459.997,15994633.583,26194570.003,42189203.586,0.620883253925475,62.0883253925475
2022,"Agriculture",48395369,15783868.482,19348616.283,32611500.518,51960116.801,0.627625619913394,62.7625619913394
2023,"Agriculture",50690671,15802727.204,19074686.112,34887943.796,53962629.908,0.646520450457657,64.6520450457657
2010,"Construction",109569719,1837365.657,3380645.345,107732353.343,111112998.688,0.969574708765689,96.9574708765689
2011,"Construction",113570412,1999908.396,3708779.669,111570503.604,115279283.273,0.96782787363262,96.782787363262
2012,"Construction",111496862,1943526.088,3728556.813,109553335.912,113281892.725,0.967086030050263,96.7086030050263
2013,"Construction",114272411,2057987.83,3717879.565,112214423.17,115932302.735,0.967930598484718,96.7930598484718
2014,"Construction",112681989,2081536.562,3917339.998,110600452.438,114517792.436,0.965792739148467,96.5792739148467
2015,"Construction",110465120,2224308.033,3954985.534,108240811.967,112195797.501,0.964749254231517,96.4749254231517
2016,"Construction",110224984,1998179.844,4015542.327,108226804.156,112242346.483,0.964224355131348,96.4224355131348
2017,"Construction",115145057,2077550.529,4252516.824,113067506.471,117320023.295,0.963752847088113,96.3752847088113
2018,"Construction",118633910,2135652.636,4417563.947,116498257.364,120915821.311,0.963465790505298,96.3465790505298
2019,"Construction",125525651,2234500.295,4442540.869,123291150.705,127733691.574,0.96522028906973,96.522028906973
2020,"Construction",118982185,2676260.663,4622724.916,116305924.337,120928649.253,0.961773120393261,96.1773120393261
2021,"Construction",129688556,2415578.733,5264360.038,127272977.267,132537337.305,0.960280173534153,96.0280173534153
2022,"Construction",132748421,2802523.364,6626346.321,129945897.636,136572243.957,0.951481017452665,95.1481017452665
2023,"Construction",146444425,2847870.08,6596508.126,143596554.92,150193063.046,0.956079808266646,95.6079808266646
2010,"Energy",37964035,8434860.032,9228855.695,29529174.968,38758030.663,0.761885329643174,76.1885329643174
2011,"Energy",40245905,9828900.363,9782717.72,30417004.637,40199722.357,0.756647132208451,75.6647132208451
2012,"Energy",41180449,9526974.729,9720713.537,31653474.271,41374187.808,0.76505367109296,76.505367109296
2013,"Energy",43277700,9399269.784,9673257.706,33878430.216,43551687.922,0.777890176763652,77.7890176763652
2014,"Energy",43449528,9643389.837,9390999.748,33806138.163,43197137.911,0.782601343465197,78.2601343465197
2015,"Energy",44311380,9534237.449,9396522.374,34777142.551,44173664.925,0.787282255390088,78.7282255390088
2016,"Energy",44016638,8733930.015,9340990.139,35282707.985,44623698.124,0.790671985252246,79.0671985252246
2017,"Energy",42830108,9110148.418,9842896.871,33719959.582,43562856.453,0.77405299669411,77.405299669411
2018,"Energy",46312835,10333350.169,10314432.528,35979484.831,46293917.359,0.777196808643052,77.7196808643052
2019,"Energy",48024642,10231785.948,10579388.305,37792856.052,48372244.357,0.781292176006527,78.1292176006528
2020,"Energy",51070216,8669988.931,10324605.495,42400227.069,52724832.564,0.804179454103197,80.4179454103197
2021,"Energy",54259176,11899938.471,12212024.834,42359237.529,54571262.363,0.776218758643196,77.6218758643196
2022,"Energy",52587099,11997125.233,16568909.349,40589973.767,57158883.116,0.710125383041958,71.0125383041958
2023,"Energy",105501026,24422632.703,16151575.988,81078393.297,97229969.285,0.833882741023433,83.3882741023433
2010,"Manufacturing Industry",212230803,111587827.404,118778730.244,100642975.596,219421705.84,0.458673745200886,45.8673745200886
2011,"Manufacturing Industry",220816013,116130412.354,132483691.923,104685600.646,237169292.569,0.441396099436202,44.1396099436202
2012,"Manufacturing Industry",222222413,119985639.79,126883591.087,102236773.21,229120364.297,0.446214257399985,44.6214257399985
2013,"Manufacturing Industry",225492947,123181454.752,128019509.247,102311492.248,230331001.495,0.44419331997834,44.419331997834
2014,"Manufacturing Industry",227216606,123800398.24,131840526.257,103416207.76,235256734.017,0.439588725024666,43.9588725024666
2015,"Manufacturing Industry",234823558,131054429.3,140222209.721,103769128.7,243991338.421,0.425298411704064,42.5298411704064
2016,"Manufacturing Industry",234537925,130871554.361,143653715.223,103666370.639,247320085.862,0.419158720075991,41.9158720075991
2017,"Manufacturing Industry",237744048,133034837.628,150170861.545,104709210.372,254880071.917,0.410817564450852,41.0817564450852
2018,"Manufacturing Industry",241780350,137021692.14,153382930.207,104758657.86,258141588.067,0.405818599956897,40.5818599956897
2019,"Manufacturing Industry",249525511,143170162.037,154862791.222,106355348.963,261218140.185,0.407151466922155,40.7151466922155
2020,"Manufacturing Industry",221538254,117475766.354,150825612.812,104062487.646,254888100.458,0.408267343430366,40.8267343430366
2021,"Manufacturing Industry",236945222,127740111.213,163767516.628,109205110.787,272972627.415,0.400058833082101,40.0058833082101
2022,"Manufacturing Industry",261929964,146682681.138,188783515.726,115247282.862,304030798.588,0.379064500692821,37.9064500692821
2023,"Manufacturing Industry",282580045,153906396.391,191925311.233,128673648.609,320598959.842,0.401353917905454,40.1353917905454
2010,"Market Services",990721689,181281425.399,170972108.335,809440263.601,980412371.936,0.825612045268885,82.5612045268885
2011,"Market Services",1017447667,196201131.814,181657323.336,821246535.186,1002903858.522,0.818868656459541,81.8868656459541
2012,"Market Services",1029444305,203274304.987,189277340.294,826170000.013,1015447340.307,0.813602012846106,81.3602012846106
2013,"Market Services",1042531839,211299744.9,195705315.038,831232094.1,1026937409.138,0.809428195626574,80.9428195626574
2014,"Market Services",1058464872,220605677.622,205855826.135,837859194.378,1043715020.513,0.802766251237987,80.2766251237987
2015,"Market Services",1086626034,238409888.629,220322448.596,848216145.371,1068538593.967,0.793809554619789,79.3809554619789
2016,"Market Services",1108377167,242531450.27,225387459.041,865845716.73,1091233175.771,0.793456188791406,79.3456188791406
2017,"Market Services",1137180288,249672857.483,235032495.351,887507430.517,1122539925.868,0.7906243778641,79.06243778641
2018,"Market Services",1170713144,258642372.024,247414929.892,912070771.976,1159485701.868,0.786616661599708,78.6616661599708
2019,"Market Services",1214679951,267831618.822,250007277.374,946848332.178,1196855609.552,0.791113250939617,79.1113250939617
2020,"Market Services",1152290456,250082938.89,234095732.545,902207517.11,1136303249.655,0.793984807650532,79.3984807650532
2021,"Market Services",1250311171,299295333.012,261606685.018,951015837.988,1212622523.006,0.784263709394497,78.4263709394497
2022,"Market Services",1350688731,353204532.159,324702574.403,997484198.841,1322186773.244,0.754420040365146,75.4420040365146
2023,"Market Services",1399101084,340313297.431,327684044.923,1058787786.569,1386471831.492,0.763656182924124,76.3656182924124
2010,"Non-Market Services",410175908,8495782.23,5417689.346,401680125.77,407097815.116,0.986691922322265,98.6691922322265
2011,"Non-Market Services",423305074,9250332.681,5569442.538,414054741.319,419624183.857,0.986727546332511,98.6727546332511
2012,"Non-Market Services",432642442,9756600.346,6104251.228,422885841.654,428990092.882,0.985770647552742,98.5770647552742
2013,"Non-Market Services",443211176,9994582.109,6463667.914,433216593.891,439680261.805,0.985299162879259,98.5299162879259
2014,"Non-Market Services",450746223,10089302.756,6517757.341,440656920.244,447174677.585,0.985424583126666,98.5424583126666
2015,"Non-Market Services",455363963,12060548.994,7206575.125,443303414.006,450509989.131,0.984003517571495,98.4003517571495
2016,"Non-Market Services",461945505,12229387.55,7274578.87,449716117.45,456990696.32,0.984081560240548,98.4081560240548
2017,"Non-Market Services",473562279,12639499.363,7455118.904,460922779.637,468377898.541,0.984083111250077,98.4083111250077
2018,"Non-Market Services",479235392,13136953.803,8147754.787,466098438.197,474246192.984,0.982819567331192,98.2819567331192
2019,"Non-Market Services",488056989,13207672.322,8212945.379,474849316.678,483062262.057,0.982998163955041,98.2998163955041
2020,"Non-Market Services",490841636,9365688.787,7594800.378,481475947.213,489070747.591,0.984470957595789,98.4470957595789
2021,"Non-Market Services",523399335,11534863.964,8384820.357,511864471.036,520249291.393,0.983883072027741,98.3883072027741
2022,"Non-Market Services",540078181,13177348.686,10214159.966,526900832.314,537114992.28,0.980983290146786,98.0983290146786
2023,"Non-Market Services",557644499,12958942.823,10311639.797,544685556.177,554997195.974,0.981420374964411,98.1420374964411
